"Authors","Author full names","Author(s) ID","Title","Year","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN"
"Boyko N.; Arutiunov L.","Boyko, Nataliya (57191967462); Arutiunov, Levon (58765729000)","57191967462; 58765729000","Comparison of Image Deraining Methods Using Deep Learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179850855&doi=10.1109%2fCSIT61576.2023.10324259&partnerID=40&md5=2e606ef107d85b013a3ad591ae9fb004","Lviv Polytechnic National University, department of artificial intelligence, Lviv, Ukraine","Boyko N., Lviv Polytechnic National University, department of artificial intelligence, Lviv, Ukraine; Arutiunov L., Lviv Polytechnic National University, department of artificial intelligence, Lviv, Ukraine","27663655","979-835036046-2",""
"Krak I.; Kuznetsov V.; Kondratiuk S.; Azarova L.; Barmak O.; Padiuk P.","Krak, Iurii (6602577533); Kuznetsov, Vladyslav (56496122100); Kondratiuk, Serhii (57200318123); Azarova, Larisa (57212031795); Barmak, Olexander (57217176350); Padiuk, Pavlo (57216894492)","6602577533; 56496122100; 57200318123; 57212031795; 57217176350; 57216894492","Analysis of Deep Learning Methods in Adaptation to the Small Data Problem Solving","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138677828&doi=10.1007%2f978-3-031-16203-9_20&partnerID=40&md5=254f8969373e0ed1731c57ce699aaa26","Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Glushkov Institute of Cybernetics of NAS of Ukraine, Kyiv, Ukraine; Vinnytsia National Technical University, Vinnytsia, Ukraine; Khmelnytskyi National University, Khmelnytskyi, Ukraine","Krak I., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine, Glushkov Institute of Cybernetics of NAS of Ukraine, Kyiv, Ukraine; Kuznetsov V., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Kondratiuk S., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine, Glushkov Institute of Cybernetics of NAS of Ukraine, Kyiv, Ukraine; Azarova L., Vinnytsia National Technical University, Vinnytsia, Ukraine; Barmak O., Khmelnytskyi National University, Khmelnytskyi, Ukraine; Padiuk P., Khmelnytskyi National University, Khmelnytskyi, Ukraine","23674512","",""
"Raheem N.; Taher A.Q.; Alanssari A.I.; Pyliavskyi V.V.; Bashar B.S.; Ismail M.M.","Raheem, N. (57917939900); Taher, A.Q. (57189328105); Alanssari, A.I. (58190591600); Pyliavskyi, V.V. (57216680954); Bashar, B.S. (56121804400); Ismail, M.M. (57215034651)","57917939900; 57189328105; 58190591600; 57216680954; 56121804400; 57215034651","Color appearance models CAM16, ZCAM and CAM20u for video applications","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139450948&doi=10.15407%2fspqeo25.03.342&partnerID=40&md5=2821d43608caf02dd6f3575085ac9ee5","Imam Ja’afar Al-Sadiq University, Baghdad, Iraq; Department of Computer Engineering Techniques, Islamic University, Najaf, Iraq; Department of Computer Engineering Techniques, Al Nisour University College, Iraq; Department radio and television broadcasting, State University of Intelligence Technologies and Telecommunications, Odesa, Ukraine","Raheem N., Imam Ja’afar Al-Sadiq University, Baghdad, Iraq; Taher A.Q., Department of Computer Engineering Techniques, Islamic University, Najaf, Iraq; Alanssari A.I., Department of Computer Engineering Techniques, Al Nisour University College, Iraq; Pyliavskyi V.V., Department radio and television broadcasting, State University of Intelligence Technologies and Telecommunications, Odesa, Ukraine; Bashar B.S., Department of Computer Engineering Techniques, Al Nisour University College, Iraq; Ismail M.M., Department of Computer Engineering Techniques, Al Nisour University College, Iraq","15608034","",""
"Gorokhovatskyi V.; Peredrii O.; Tvoroshenko I.; Markov T.","Gorokhovatskyi, Volodymyr (6506997369); Peredrii, Olena (57202751577); Tvoroshenko, Iryna (57211556518); Markov, Taras (58698155300)","6506997369; 57202751577; 57211556518; 58698155300","Distance matrix for a set of structural description components as a tool for image classifier creating","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176936685&doi=10.20998%2f2522-9052.2023.1.01&partnerID=40&md5=0769c22d5d2d940e9d7741ed77e4c2b0","Informatics Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Department of Informatics and Computer Engineering, Simon Kuznets Kharkiv National University of Economics, Kharkіv, Ukraine","Gorokhovatskyi V., Informatics Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Peredrii O., Department of Informatics and Computer Engineering, Simon Kuznets Kharkiv National University of Economics, Kharkіv, Ukraine; Tvoroshenko I., Informatics Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Markov T., Informatics Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","25229052","",""
"Gorokhovatskyi V.; Tvoroshenko I.; Kobylin O.; Vlasenko N.","Gorokhovatskyi, Volodymyr (6506997369); Tvoroshenko, Iryna (57211556518); Kobylin, Oleg (56845919400); Vlasenko, Nataliia (55930369500)","6506997369; 57211556518; 56845919400; 55930369500","Search for Visual Objects by Request in the Form of a Cluster Representation for the Structural Image Description","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165872795&doi=10.15598%2faeee.v21i1.4661&partnerID=40&md5=69aaee4a002d13356ce5f52f7fc67fd6","Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Department of Informatics and Computer Engineering, Simon Kuznets Kharkiv National University of Economics, Nauky Ave. 9-A, Kharkiv, 61166, Ukraine","Gorokhovatskyi V., Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Tvoroshenko I., Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Kobylin O., Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Vlasenko N., Department of Informatics and Computer Engineering, Simon Kuznets Kharkiv National University of Economics, Nauky Ave. 9-A, Kharkiv, 61166, Ukraine","13361376","",""
"Radiuk P.; Pavlova O.; El Bouhissi H.; Avsiyevych V.; Kovalenko V.","Radiuk, Pavlo (57216894492); Pavlova, Olga (57218181382); El Bouhissi, Houda (25640887200); Avsiyevych, Volodymyr (57457117500); Kovalenko, Volodymyr (57787153400)","57216894492; 57218181382; 25640887200; 57457117500; 57787153400","Convolutional Neural Network for Parking Slots Detection","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133647441&partnerID=40&md5=6b6156deead3ee1f5084d6fafeecfe51","Khmelnytskyi National University, Instytuts'ka str., 11, Khmelnytskyi, 29016, Ukraine; LIMED Laboratory, Faculty of Exact Sciences, University of Bejaia, Bejaia, 06000, Algeria","Radiuk P., Khmelnytskyi National University, Instytuts'ka str., 11, Khmelnytskyi, 29016, Ukraine; Pavlova O., Khmelnytskyi National University, Instytuts'ka str., 11, Khmelnytskyi, 29016, Ukraine; El Bouhissi H., LIMED Laboratory, Faculty of Exact Sciences, University of Bejaia, Bejaia, 06000, Algeria; Avsiyevych V., Khmelnytskyi National University, Instytuts'ka str., 11, Khmelnytskyi, 29016, Ukraine; Kovalenko V., Khmelnytskyi National University, Instytuts'ka str., 11, Khmelnytskyi, 29016, Ukraine","16130073","",""
"Shakhovska N.; Pukach P.","Shakhovska, Nataliya (42962320400); Pukach, Pavlo (57223005097)","42962320400; 57223005097","Comparative Analysis of Backbone Networks for Deep Knee MRI Classification Models","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133190038&doi=10.3390%2fbdcc6030069&partnerID=40&md5=e92bff2e6d80dd21c9d4c3e153bb7ca2","AI Department, Lviv Polytechnic National University, Lviv, 79000, Ukraine","Shakhovska N., AI Department, Lviv Polytechnic National University, Lviv, 79000, Ukraine; Pukach P., AI Department, Lviv Polytechnic National University, Lviv, 79000, Ukraine","25042289","",""
"Guo Q.; Wu T.; Xu W.; Chornogor L.","Guo, Qiang (57077098600); Wu, Tianhao (57217129786); Xu, Wei (57205683478); Chornogor, Leonid (58416354600)","57077098600; 57217129786; 57205683478; 58416354600","Target tracking algorithm based on saliency awareness and consistency constraint; [基于显著感知与一致性约束的目标跟踪算法]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173568408&doi=10.13700%2fj.bh.1001-5965.2021.0688&partnerID=40&md5=2a16a6cfc2ed6eaad888d988f7e65c30","College of Information and Communication Engineering, Harbin Engineering University, Harbin, 150001, China; Key Labotatory of Advanced Marine Communication and Information Technology, Ministry of Industry and Information Technology, Harbin, 150001, China; Schoolof Radio Physics, Kharkiv V.N. Karazin National University, Kharkiv, 61166, Ukraine","Guo Q., College of Information and Communication Engineering, Harbin Engineering University, Harbin, 150001, China, Key Labotatory of Advanced Marine Communication and Information Technology, Ministry of Industry and Information Technology, Harbin, 150001, China; Wu T., College of Information and Communication Engineering, Harbin Engineering University, Harbin, 150001, China, Key Labotatory of Advanced Marine Communication and Information Technology, Ministry of Industry and Information Technology, Harbin, 150001, China; Xu W., College of Information and Communication Engineering, Harbin Engineering University, Harbin, 150001, China, Key Labotatory of Advanced Marine Communication and Information Technology, Ministry of Industry and Information Technology, Harbin, 150001, China; Chornogor L., College of Information and Communication Engineering, Harbin Engineering University, Harbin, 150001, China, Schoolof Radio Physics, Kharkiv V.N. Karazin National University, Kharkiv, 61166, Ukraine","10015965","","BHHDE"
"Mysiuk R.; Yuzevych V.; Koman B.; Tyrkalo Y.; Farat O.; Mysiuk I.; Harasym L.","Mysiuk, Roman (57939883600); Yuzevych, Volodymyr (6506741420); Koman, Bohdan (6603822526); Tyrkalo, Yuriy (57952498600); Farat, Oleksandra (56658654000); Mysiuk, Iryna (58178909800); Harasym, Lyudmyla (58659865200)","57939883600; 6506741420; 6603822526; 57952498600; 56658654000; 58178909800; 58659865200","Detection of Structure Changes in Lightweight Concrete with Nanoparticles Using Computer Vision Methods in the Construction Industry","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174674742&doi=10.1007%2f978-981-99-3091-3_27&partnerID=40&md5=bd806cdc6042413a96d6946f38d99ec3","Ivan Franko National University of Lviv, 1 Universytetska Str, Lviv, 79000, Ukraine; Karpenko Physico-Mechanical Institute of the NAS of Ukraine, 5 Naukova Str, Lviv, 79060, Ukraine; Lviv Polytechnic National University, 12 Stepana Bandera Str, Lviv, 79013, Ukraine; Ukrainian National Forestry University, 103 Gen. Chuprynky Str, Lviv, 79057, Ukraine","Mysiuk R., Ivan Franko National University of Lviv, 1 Universytetska Str, Lviv, 79000, Ukraine; Yuzevych V., Karpenko Physico-Mechanical Institute of the NAS of Ukraine, 5 Naukova Str, Lviv, 79060, Ukraine; Koman B., Ivan Franko National University of Lviv, 1 Universytetska Str, Lviv, 79000, Ukraine; Tyrkalo Y., Lviv Polytechnic National University, 12 Stepana Bandera Str, Lviv, 79013, Ukraine; Farat O., Lviv Polytechnic National University, 12 Stepana Bandera Str, Lviv, 79013, Ukraine; Mysiuk I., Ivan Franko National University of Lviv, 1 Universytetska Str, Lviv, 79000, Ukraine; Harasym L., Ukrainian National Forestry University, 103 Gen. Chuprynky Str, Lviv, 79057, Ukraine","23673370","978-981993090-6",""
"Kutyrev A.; Khort D.; Smirnov I.; Kiktev N.; Opryshko O.; Komarchuk D.","Kutyrev, Alexey (57206770758); Khort, Dmitriy (57206780649); Smirnov, Igor (57204671183); Kiktev, Nikolay (57195126012); Opryshko, Oleksiy (57200182403); Komarchuk, Dmytro (57200183450)","57206770758; 57206780649; 57204671183; 57195126012; 57200182403; 57200183450","Robotic Device for Identifying and Picking Apples","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172719955&doi=10.1109%2fPICST57299.2022.10238646&partnerID=40&md5=3d2e9ac57aeb9e103751098585f18b26","Viticulture and Nursery Federal Scientific Agroengineering Center VIM, Department of Technologies and Machines for Horticulture, Russian Federation; National University of Life and Environmental Sciences of Ukraine, Department of Automation and Robotic Systems, Ukraine; Fichessoft LLC, RandD Departement, Albuquerque, NM, United States","Kutyrev A., Viticulture and Nursery Federal Scientific Agroengineering Center VIM, Department of Technologies and Machines for Horticulture, Russian Federation; Khort D., Viticulture and Nursery Federal Scientific Agroengineering Center VIM, Department of Technologies and Machines for Horticulture, Russian Federation; Smirnov I., Viticulture and Nursery Federal Scientific Agroengineering Center VIM, Department of Technologies and Machines for Horticulture, Russian Federation; Kiktev N., National University of Life and Environmental Sciences of Ukraine, Department of Automation and Robotic Systems, Ukraine; Opryshko O., National University of Life and Environmental Sciences of Ukraine, Department of Automation and Robotic Systems, Ukraine; Komarchuk D., Fichessoft LLC, RandD Departement, Albuquerque, NM, United States","","979-835039891-5",""
"Kovalenko S.; Kovalenko A.; Kovalenko S.; Pelikh D.; Mikhnova O.; Severin V.","Kovalenko, Sergii (57208851362); Kovalenko, Anton (58759335100); Kovalenko, Svitlana (57212035934); Pelikh, Daniil (58068998700); Mikhnova, Olena (57191613564); Severin, Valeriy (8287183900)","57208851362; 58759335100; 57212035934; 58068998700; 57191613564; 8287183900","An Approach to Blood Cell Classification Based on Object Segmentation and Machine Learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179501317&doi=10.1109%2fKhPIWeek61412.2023.10312903&partnerID=40&md5=d56cc4a67c2f1f92dfecc57d95e1bdec","Dept. of System Analysis and Information-Analytical Technologies, National Technical University”KhPI”, Kharkiv, Ukraine; Dept. of Software Engineering and Management Intelligent Technologies, National Technical University”KhPI”, Kharkiv, Ukraine; Dept. of Cyber Security and Information Technologies, State Biotechnological University, Kharkiv, Ukraine","Kovalenko S., Dept. of System Analysis and Information-Analytical Technologies, National Technical University”KhPI”, Kharkiv, Ukraine; Kovalenko A., Dept. of System Analysis and Information-Analytical Technologies, National Technical University”KhPI”, Kharkiv, Ukraine; Kovalenko S., Dept. of Software Engineering and Management Intelligent Technologies, National Technical University”KhPI”, Kharkiv, Ukraine; Pelikh D., Dept. of System Analysis and Information-Analytical Technologies, National Technical University”KhPI”, Kharkiv, Ukraine; Mikhnova O., Dept. of Cyber Security and Information Technologies, State Biotechnological University, Kharkiv, Ukraine; Severin V., Dept. of System Analysis and Information-Analytical Technologies, National Technical University”KhPI”, Kharkiv, Ukraine","","979-835039553-2",""
"Dashkov A.; Khaleiev O.","Dashkov, Andrii (57734425400); Khaleiev, Oleksii (57734050800)","57734425400; 57734050800","Haar descriptors preliminary sampling","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131679517&doi=10.1007%2fs11042-022-13204-4&partnerID=40&md5=e3082a5abc347c797b9fd0f63b4d9282","P-Product Inc, Kharkiv, Ukraine","Dashkov A., P-Product Inc, Kharkiv, Ukraine; Khaleiev O., P-Product Inc, Kharkiv, Ukraine","13807501","","MTAPF"
"Vlasovets V.; Vlasenko T.; Kovalyshyn S.; Kovalyshyn O.; Kovalyshyn O.; Kurpaska S.; Kiełbasa P.; Bilovod O.; Shulga L.","Vlasovets, Vitaliy (6507019627); Vlasenko, Tatiana (57223382447); Kovalyshyn, Stepan (55923873700); Kovalyshyn, Olesy (58040414600); Kovalyshyn, Oleg (57156646700); Kurpaska, Sławomir (56631662900); Kiełbasa, Paweł (42461749400); Bilovod, Oleksandra (58729589600); Shulga, Lyudmila (57212374036)","6507019627; 57223382447; 55923873700; 58040414600; 57156646700; 56631662900; 42461749400; 58729589600; 57212374036","Effect of various factors on the measurement error of structural components of machine parts materials microhardness using computer vision methods; [Wpływ różnych czynników na błąd pomiaru mikrotwardości materiałów elementów konstrukcyjnych części maszyn z wykorzystaniem metod wizji komputerowej]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145479948&doi=10.15199%2f48.2023.01.67&partnerID=40&md5=35b0fc862aec0d5079474029f0f61098","Department of tractors and cars, State Biotechnology University, Alchevsky St., 44, Kharkiv, 61002, Ukraine; Department of cars and tractors, Lviv National Agrarian University, V.Valyki Street, 1, Dubliany, 80381, Ukraine; Faculty of Production and Power Engineering, University of Agriculture in Krakow, ul. Balicka 116 B, Kraków, 30-149, Poland; Department of Industry Engineering, Poltava State Agrarian University, St. Skovoroda 1/3, Poltava, 36003, Ukraine; Soft Serve Digital Consulting Company, Lviv, Ukraine","Vlasovets V., Department of tractors and cars, State Biotechnology University, Alchevsky St., 44, Kharkiv, 61002, Ukraine; Vlasenko T., Department of tractors and cars, State Biotechnology University, Alchevsky St., 44, Kharkiv, 61002, Ukraine; Kovalyshyn S., Department of cars and tractors, Lviv National Agrarian University, V.Valyki Street, 1, Dubliany, 80381, Ukraine; Kovalyshyn O., Department of cars and tractors, Lviv National Agrarian University, V.Valyki Street, 1, Dubliany, 80381, Ukraine; Kovalyshyn O., Soft Serve Digital Consulting Company, Lviv, Ukraine; Kurpaska S., Faculty of Production and Power Engineering, University of Agriculture in Krakow, ul. Balicka 116 B, Kraków, 30-149, Poland; Kiełbasa P., Faculty of Production and Power Engineering, University of Agriculture in Krakow, ul. Balicka 116 B, Kraków, 30-149, Poland; Bilovod O., Department of Industry Engineering, Poltava State Agrarian University, St. Skovoroda 1/3, Poltava, 36003, Ukraine; Shulga L., Department of Industry Engineering, Poltava State Agrarian University, St. Skovoroda 1/3, Poltava, 36003, Ukraine","00332097","",""
"Korobiichuk I.; Reut D.; Drevetskyi V.","Korobiichuk, Igor (56835659200); Reut, Dmytro (57911292700); Drevetskyi, Volodymyr (57195528097)","56835659200; 57911292700; 57195528097","Recognition of colonial and multicellular microplankton organisms in surface waters using computer vision","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139004203&doi=10.1109%2fMMAR55195.2022.9874305&partnerID=40&md5=2794783d327315350b67093365d11884","ukasiewicz Research Network-Industrial Research Institute for Automation and Measurements Piap, Warsaw, Poland; National University of Water and Environmental Engineering, Rivne, Ukraine","Korobiichuk I., ukasiewicz Research Network-Industrial Research Institute for Automation and Measurements Piap, Warsaw, Poland; Reut D., National University of Water and Environmental Engineering, Rivne, Ukraine; Drevetskyi V., National University of Water and Environmental Engineering, Rivne, Ukraine","","978-166546857-2",""
"Yavuz Y.; Akleyin E.; Doǧan M.S.; Goncharuk-Khomyn M.; Akkus Z.","Yavuz, Yasemin (57197416152); Akleyin, Ebru (57214330072); Doǧan, Mehmet Sinan (55836185700); Goncharuk-Khomyn, Myroslav (57200959769); Akkus, Zeki (8889752000)","57197416152; 57214330072; 55836185700; 57200959769; 8889752000","Can the Density of Mineralized Dental Tissues (Dentin and Enamel) Be Measured and Compared with 3D Cone Beam Computed Tomography in Cases of Ectodermal Dysplasia?","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133272847&doi=10.12659%2fMSM.937003&partnerID=40&md5=5c75fe13214ed068f2b97f2ec6a44029","Department of Restorative Dentistry, Faculty of Dentistry, Harran University, Sanliurfa, Turkey; Department of Pediatric Dentistry, Faculty of Dentistry, Dicle University, Diyarbakir, Turkey; Department of Pediatric Dentistry, Faculty of Dentistry, Harran University, Sanliurfa, Turkey; Department of Public Health and Humanitarian Disciplines, Uzhhorod National University, Uzhhorod, Ukraine; Department of Biostatistics, Faculty of Medicine, Dicle University, Diyarbakir, Turkey","Yavuz Y., Department of Restorative Dentistry, Faculty of Dentistry, Harran University, Sanliurfa, Turkey; Akleyin E., Department of Pediatric Dentistry, Faculty of Dentistry, Dicle University, Diyarbakir, Turkey; Doǧan M.S., Department of Pediatric Dentistry, Faculty of Dentistry, Harran University, Sanliurfa, Turkey; Goncharuk-Khomyn M., Department of Public Health and Humanitarian Disciplines, Uzhhorod National University, Uzhhorod, Ukraine; Akkus Z., Department of Biostatistics, Faculty of Medicine, Dicle University, Diyarbakir, Turkey","12341010","","MSMOF"
"Nunez-Lopez J.A.; Sergiyenko O.; Alaniz-Plata R.; Sepulveda-Valdez C.; Perez-Landeros O.M.; Tyrsa V.; Flores-Fuentes W.; Rodriguez-Quinonez J.C.; Murrieta-Rico F.N.; Mercorelli P.; Kartashov V.; Kolendovska M.","Nunez-Lopez, Jose A. (57328292200); Sergiyenko, Oleg (24342118700); Alaniz-Plata, Ruben (57538900700); Sepulveda-Valdez, Cesar (57210420506); Perez-Landeros, Oscar M. (57225923786); Tyrsa, Vera (18038571300); Flores-Fuentes, Wendy (55955051400); Rodriguez-Quinonez, Julio C. (55357171500); Murrieta-Rico, Fabian N. (36163390800); Mercorelli, Paolo (55903158200); Kartashov, Vladimir (9534197500); Kolendovska, Marina (57205887139)","57328292200; 24342118700; 57538900700; 57210420506; 57225923786; 18038571300; 55955051400; 55357171500; 36163390800; 55903158200; 9534197500; 57205887139","Advances in Laser Positioning of Machine Vision System and Their Impact on 3D Coordinates Measurement","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179517978&doi=10.1109%2fIECON51785.2023.10312329&partnerID=40&md5=6ecf99a9bab46aa26d618e26e17cd8d8","Institute Engineering, Autonomous University of Baja California, Mexicali, Mexico; Autonomous University of Baja California, Faculty Engineering, Mexicali, Mexico; Polytechnic University of Baja California, Mexicali, Mexico; Leuphana University of Lueneburg, Lueneburg, Germany; Kharkiv National University of Radioelectronics, Kharkiv, Ukraine","Nunez-Lopez J.A., Institute Engineering, Autonomous University of Baja California, Mexicali, Mexico; Sergiyenko O., Institute Engineering, Autonomous University of Baja California, Mexicali, Mexico; Alaniz-Plata R., Institute Engineering, Autonomous University of Baja California, Mexicali, Mexico; Sepulveda-Valdez C., Institute Engineering, Autonomous University of Baja California, Mexicali, Mexico; Perez-Landeros O.M., Institute Engineering, Autonomous University of Baja California, Mexicali, Mexico; Tyrsa V., Autonomous University of Baja California, Faculty Engineering, Mexicali, Mexico; Flores-Fuentes W., Autonomous University of Baja California, Faculty Engineering, Mexicali, Mexico; Rodriguez-Quinonez J.C., Autonomous University of Baja California, Faculty Engineering, Mexicali, Mexico; Murrieta-Rico F.N., Polytechnic University of Baja California, Mexicali, Mexico; Mercorelli P., Leuphana University of Lueneburg, Lueneburg, Germany; Kartashov V., Kharkiv National University of Radioelectronics, Kharkiv, Ukraine; Kolendovska M., Kharkiv National University of Radioelectronics, Kharkiv, Ukraine","21624704","979-835033182-0","IEPRE"
"Kutyrev A.; Kiktev N.; Kalivoshko O.; Rakhmedov R.","Kutyrev, Alexey (57206770758); Kiktev, Nikolay (57195126012); Kalivoshko, Oleksii (57216490528); Rakhmedov, Ruslan (58066693800)","57206770758; 57195126012; 57216490528; 58066693800","Recognition and Classification Apple Fruits Based on a Convolutional Neural Network Model","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149407625&partnerID=40&md5=e177d7e7cc93963abe7e8d188dcb277d","Federal Scientific Agroengineering Center VIM, Department of Technologies and Machines for Horticulture, Viticulture and Nursery, 109428, Russian Federation; National University of Life and Environmental Sciences of Ukraine, Department of Automation and Robotic Systems, 03041, Ukraine; Taras Shevchenko National University of Kyiv, Department of Intelligent Technologies, 01601, Ukraine; National Science Center “Institute of Agrarian Economics”, 03041, Ukraine; Stripe, Inc., Software Department, South San Francisco, 94080, CA, United States","Kutyrev A., Federal Scientific Agroengineering Center VIM, Department of Technologies and Machines for Horticulture, Viticulture and Nursery, 109428, Russian Federation; Kiktev N., National University of Life and Environmental Sciences of Ukraine, Department of Automation and Robotic Systems, 03041, Ukraine, Taras Shevchenko National University of Kyiv, Department of Intelligent Technologies, 01601, Ukraine; Kalivoshko O., National Science Center “Institute of Agrarian Economics”, 03041, Ukraine; Rakhmedov R., Stripe, Inc., Software Department, South San Francisco, 94080, CA, United States","16130073","",""
"Didenko A.; Oliinyk A.; Subbotin S.","Didenko, Andrii (58289972800); Oliinyk, Andrii (55120940800); Subbotin, Sergey (7006531104)","58289972800; 55120940800; 7006531104","Thermal Image Super‐Resolution Methods Using Neural Networks","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160308337&partnerID=40&md5=e1c49c786da6f629b998a701f1f19ca7","National University “Zaporizhzhia Polytechnic”, Zhukovskoho street 64, Zaporizhzhia, 69063, Ukraine","Didenko A., National University “Zaporizhzhia Polytechnic”, Zhukovskoho street 64, Zaporizhzhia, 69063, Ukraine; Oliinyk A., National University “Zaporizhzhia Polytechnic”, Zhukovskoho street 64, Zaporizhzhia, 69063, Ukraine; Subbotin S., National University “Zaporizhzhia Polytechnic”, Zhukovskoho street 64, Zaporizhzhia, 69063, Ukraine","16130073","",""
"Khlamov S.; Trunova T.; Tabakova I.","Khlamov, Sergii (56866386100); Trunova, Tetiana (57775882100); Tabakova, Iryna (57194480930)","56866386100; 57775882100; 57194480930","Astronomical Metadata Mining from FITS Files by the Telescope Software","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176339093&partnerID=40&md5=a414a81663dc2d42a2dce7ad758c94c7","Kharkiv National University of Radio Electronics, Nauki avenue 14, Kharkiv, 61166, Ukraine","Khlamov S., Kharkiv National University of Radio Electronics, Nauki avenue 14, Kharkiv, 61166, Ukraine; Trunova T., Kharkiv National University of Radio Electronics, Nauki avenue 14, Kharkiv, 61166, Ukraine; Tabakova I., Kharkiv National University of Radio Electronics, Nauki avenue 14, Kharkiv, 61166, Ukraine","16130073","",""
"Byzkrovnyi O.; Savulioniene L.; Smelyakov K.; Sakalys P.; Chupryna A.","Byzkrovnyi, Oleksandr (58266323400); Savulioniene, Loreta (55887730000); Smelyakov, Kyrylo (57203149663); Sakalys, Paulius (57215832108); Chupryna, Anastasiya (57202997528)","58266323400; 55887730000; 57203149663; 57215832108; 57202997528","Comparison of Potential Road Accident Detection Algorithms for Modern Machine Vision System","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170643980&doi=10.17770%2fetr2023vol3.7299&partnerID=40&md5=43cda6c7e6c642e8b531c39a3d099c05","Software engineering department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Faculty of electronics and informatics, Vilniaus Kolegija/Higher Education Institution, Vilnius, Lithuania","Byzkrovnyi O., Software engineering department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Savulioniene L., Faculty of electronics and informatics, Vilniaus Kolegija/Higher Education Institution, Vilnius, Lithuania; Smelyakov K., Software engineering department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Sakalys P., Faculty of electronics and informatics, Vilniaus Kolegija/Higher Education Institution, Vilnius, Lithuania; Chupryna A., Software engineering department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","16915402","978-171387488-1",""
"Kasianchuk A.; Honcharenko Y.; Popovych N.; Nechyporuk R.; Nechyporuk Y.","Kasianchuk, Andrii (58613681800); Honcharenko, Yevhenii (57993962500); Popovych, Nataliia (58614422400); Nechyporuk, Roman (58614422500); Nechyporuk, Yuliia (58613979000)","58613681800; 57993962500; 58614422400; 58614422500; 58613979000","The Future of Artificial Intelligence, Computer Vision, and Machine Learning and its Potential to Shape the Way We Live and Interact with Technology","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171990126&doi=10.1109%2fSIST58284.2023.10223590&partnerID=40&md5=c2d3865ff450128fb861bc9aeea54414","Kyiv National University of Construction and Architecture, Kyiv, Ukraine","Kasianchuk A., Kyiv National University of Construction and Architecture, Kyiv, Ukraine; Honcharenko Y., Kyiv National University of Construction and Architecture, Kyiv, Ukraine; Popovych N., Kyiv National University of Construction and Architecture, Kyiv, Ukraine; Nechyporuk R., Kyiv National University of Construction and Architecture, Kyiv, Ukraine; Nechyporuk Y., Kyiv National University of Construction and Architecture, Kyiv, Ukraine","","979-835033504-0",""
