index;name;#publications;#publishers;publishers;density
58;Vinnitsa Social Economy Institute;16;8;"36952134000; 6603538425; 24174756600; 6701714823; 55643472600; 35764873200; 55523102357; 55643235600";2
1814;Institute of Applied Problems of Ecology;16;4;"25636747300; 12788840400; 57201797326; 25637865500";4
830;Kyiv National University of Technologies and Design;21;18;"57357228600; 58558047600; 57218097533; 57189090865; 57871710600; 36069041500; 57462354200; 57226526533; 57219251131; 57866119600; 57871570500; 57205054914; 57207486132; 56529699300; 58774812000; 57956948600; 58759111200; 57219207595";0,833333333
973;Danylo Halytsky Lviv National Medical University;18;38;"57795122200; 6602969260; 57205312532; 57434954500; 57216749178; 55203576800; 35306606300; 57194585143; 56181570500; 57435637100; 57204565196; 57209338834; 56677781000; 57434681000; 57225975563; 57694851800; 56465146600; 57222180435; 58335911200; 6602600329; 57004757800; 57213072743; 58102558800; 56667626300; 56781507200; 57188844879; 6503975175; 8746060700; 57327411400; 57435088800; 8393653800; 57222226566; 45761541000; 57188847107; 57352758300; 57224541997; 6507369141; 57435227400";0,394736842
1052;National Academy of Sciences of Ukraine;15;26;"57190582098; 56893717700; 7101892671; 6506402840; 7006247347; 26322687500; 57209913249; 56110310300; 57196005481; 57216490322; 54789863400; 57215651657; 7202496602; 56007395000; 57212448897; 7801397436; 7004132288; 8206833100; 57216353855; 24178598200; 6505900928; 6603056281; 57204563085; 24179449600; 57219530578; 56335387700";0,576923077
1156;false National Air Force University;14;23;"57572966100; 58099256500; 57188754564; 57188751299; 56535420500; 57210415371; 7003407502; 57188637896; 57468687000; 57189319491; 58099416000; 57201776532; 57216155085; 57193611042; 56026358600; 57467913300; 58099245500; 57211236175; 27867503300; 8383205800; 57188759044; 57207772434; 57221681921";0,608695652
1157;SoftServe;14;17;"57189899534; 8521299600; 57219825771; 57209305837; 57221875207; 57208773766; 57207206470; 12793134300; 57191859973; 57189329580; 37017559900; 57191864364; 56866386100; 57204560911; 57417319400; 36179919600; 57194627100";0,823529412
1166;Institute for Information Recording of National Academy of Sciences of Ukraine;14;12;"57207258986; 19934022600; 57201372537; 57485595000; 54881853400; 35583691500; 57207244201; 57193860782; 57193842606; 57193852348; 57219056698; 57201381973";1,166666667
1200;Vasyl' Stus Donetsk National University;14;18;"57223111111; 47161155900; 58624085300; 57204592112; 57218242548; 57224186865; 57218103019; 58624187700; 57871678500; 25625849900; 57373296100; 57211200776; 58759163300; 57194528201; 57195679681; 58623885900; 57282381100; 57216148997";0,777777778
1205;Intelligent Information Systems Department;14;15;"57216896033; 57224201918; 55991342900; 57195135302; 57212607179; 57216899462; 57277386200; 57221292558; 57445880600; 57222145499; 57220779336; 6602324472; 57210154900; 57210164245; 55991478400";0,933333333
2002;State University of Infrastructure and Technology;14;12;"7006204952; 56884707500; 6506291738; 57204840660; 57221951932; 58037410800; 57771608400; 57861033200; 57218368819; 58037600000; 57210600598; 58642611100";1,166666667
2153;Kremenchuk Mykhailo Ostrohradskyi National University;14;28;"58089342400; 57192554991; 55367910400; 58089290500; 56707349700; 57211997729; 57803725800; 57216490044; 57105553800; 57211325182; 57211999374; 57220198223; 57202610196; 57207736475; 57203875693; 57220200266; 57193675921; 57220200045; 57194709938; 57196472683; 56830464300; 57220195621; 55367739000; 58089290200; 57215285998; 57203619235; 57215277366; 57208315150";0,5
174;V.M. Glushkov Institute of Cybernetics;23;23;"6602308178; 6602577533; 56110673500; 7801554940; 15081909300; 57433668600; 55394044700; 35275203000; 12785999500; 57074014400; 57220805973; 50262581900; 57217311025; 57218306397; 57217309303; 57222189319; 58588027600; 7102596880; 6505900928; 58550899200; 6701857667; 6506788241; 57217176350";0,565217391
314;false National Automobile and Highway University;13;7;"14024932000; 57218140230; 57203515764; 57217113702; 35336612100; 36651768700; 8383604200";1,857142857
481;Ukrainian National Forestry University;13;17;"57417878300; 57216918199; 57205214083; 36806553300; 35740595600; 57956980800; 58659865200; 6506423873; 8375321100; 57211624233; 57205436690; 57188574773; 57205443474; 57219533387; 57189382765; 57191857455; 57189386777";0,764705882
1531;Ukrainian State University of Railway Transport;13;26;"57195070059; 57214220318; 57203879767; 58426872900; 57170874200; 43461655800; 57203875016; 57208109791; 57203869469; 57203874439; 57214223209; 57195063838; 57208105658; 57195067300; 58599592600; 58350676600; 57204843397; 57194787882; 57195591082; 57195195398; 58680090700; 57205453967; 57204841104; 6603145071; 57204840843; 57208104982";0,5
1920;Kherson State Maritime Academy;13;17;"57210103625; 57223116027; 57204000187; 57190293165; 57312351600; 57208404782; 57207470263; 57200138613; 57219444109; 57219598638; 58360243200; 57201647630; 57219782305; 57221704231; 57903749300; 56006854700; 57210289620";0,764705882
2397;Drohobych Ivan Franko State Pedagogical University;13;12;"57224184490; 6602615475; 58066688800; 14071777700; 57223364800; 57216896155; 6602604864; 57219537244; 57223363724; 57224193786; 57223367436; 57204917951";1,083333333
121;Bogomolets Institute of Physiology;12;24;"6602938480; 38761636600; 7004504424; 7004543954; 7801403999; 6701329069; 6602398416; 6603584790; 8397443200; 7007016666; 6507473842; 6505850968; 7202893723; 6507058608; 6604062219; 6506491237; 7005425654; 57201211112; 6701379676; 6603107736; 6602881653; 7006341879; 6603910962; 6603154107";0,5
180;ACS Department;12;10;"36195660900; 24482887400; 24484154400; 26867619200; 57202210835; 57208903404; 27867946500; 56287826100; 24484163500; 24315132000";1,2
185;Institute of Astronomy;12;13;"6508015051; 57197571610; 9038793500; 57213172804; 26021753800; 26021682900; 8355061000; 57204946885; 56866386100; 8397416600; 6508209235; 7003941622; 9134066900";0,923076923
210;Donetsk National University;12;16;"7801527048; 57211387980; 6508206293; 35509266700; 57226674326; 25026298900; 57209195579; 25221881000; 57712820100; 37048981700; 6603681622; 56310263900; 57836968200; 57209692755; 57209197573; 57713234500";0,75
465;National University of Food Technologies;12;17;"58092486100; 7801324620; 57195679766; 58493763500; 57695893300; 57210153856; 58092433200; 6603392462; 57220204023; 57192542498; 57192594061; 58092433300; 6603189136; 57695893200; 57105011100; 57884236200; 57201289579";0,705882353
607;National Aerospace University KhAI;28;24;"58099131000; 6602260634; 57202894656; 55225531900; 57218107095; 57190123735; 57218109307; 37121982400; 57194517520; 7102438809; 41761910800; 57218101820; 6506749318; 56332607800; 57226382634; 58099162100; 56769211300; 22034616000; 6507678966; 57195589586; 57205357625; 57195590211; 57216485550; 58099241000";0,5
740;Kyiv National Economic University named after Vadym Hetman;20;27;"57219838140; 56505513000; 57209275056; 36080712900; 58575067600; 57250162100; 58350422400; 57210340695; 57219841929; 57220080461; 57224901181; 58576006700; 57211859220; 12763275900; 57223372285; 57209682939; 57224891950; 57217384325; 57776314200; 55082042300; 57205494213; 57205482209; 56011088600; 57225048653; 56294073000; 57210596966; 57163770300";0,444444444
772;Institute of Telecommunications and Global Information Space;12;27;"57211297040; 56358823000; 57211289904; 57210750621; 57211290456; 56110310300; 57363860500; 57210749432; 57244909500; 57219338020; 57215821999; 58099869600; 57210747522; 57211287401; 57210746926; 56091101300; 57226800714; 57210751169; 57457108600; 36621108000; 57208426975; 57210743321; 57211288710; 56566707800; 56910316600; 57245242300; 6507111909";0,444444444
341;Odessa National Maritime University;11;18;"56381594500; 57191406873; 57198779496; 8983573500; 51462392400; 24070067900; 57191413326; 57191411705; 57191407655; 55208217300; 57195520981; 57200318014; 57202187817; 58677235900; 57196884166; 57191408052; 57212034123; 57192092805";0,611111111
400;Pryazovskyi State Technical University;11;18;"57191515926; 7005748111; 55808117000; 55340694300; 7006970867; 57216956850; 37761627800; 36069344500; 57216897387; 6701771261; 15768787600; 55340970700; 57224808020; 57435731300; 57194170506; 57204543624; 56309980200; 7005857435";0,611111111
843;National University of Kyiv-Mohyla Academy;11;16;"57215340435; 57219539553; 57215353493; 6507551093; 57219536409; 36961257700; 57198806428; 57219530119; 57457010600; 54881960600; 25824452600; 54897978500; 57221725143; 57221599470; 57209444533; 56926594700";0,6875
950;National Technical University 'false Polytechnic Institute';11;25;"57203517746; 57192678518; 6506421350; 57202894400; 57216900848; 57193363027; 58288072500; 57216331944; 57189353945; 57164032300; 57224192472; 57189040595; 57202887287; 57201056432; 24722815200; 24723278200; 57200147025; 57210618400; 57219922495; 6602346708; 57196370192; 57196007565; 57217186929; 6602364219; 57189042150";0,44
965;Department of Software Engineering;11;16;"57195589586; 57210559451; 57205431778; 34971752100; 6507365226; 57189322677; 57188709965; 16550998700; 57201343382; 57225089828; 8342928100; 57202997528; 57195590211; 57188703184; 57216627480; 58741487600";0,6875
1014;false Petro Vasylenko National Technical University of Agriculture;11;16;"55274100500; 57222118120; 57021876500; 57225710649; 18038571300; 57196298930; 6603094392; 57192718908; 57212035934; 19934020100; 57220185409; 6701486032; 6602672204; 6603838172; 57191613564; 56430931600";0,6875
1026;Bogdan Khmelnitsky Melitopol State Pedagogical University;11;16;"57212377851; 57198803878; 57214946242; 57742755500; 57190217440; 57742561000; 57211133734; 57219926370; 57817951900; 58786574100; 57817808400; 57216845544; 57972045300; 58452321500; 57210702667; 6504409137";0,6875
1121;Space Research Institute NASU-SSAU;11;8;"55795545300; 6507365226; 57190585330; 56667743100; 56335387700; 57214233531; 57208256914; 6602485938";1,375
1140;Yaroslav Mudryi National Law University;11;9;"55131901800; 57211203960; 57409406200; 55135925400; 57222306972; 57958095100; 57213827633; 57222156371; 57188874317";1,222222222
1593;Artificial Intelligence Department;11;13;"13105377000; 57204561494; 26867619200; 56940612600; 57198346128; 55312617400; 42962320400; 58265868800; 57217115734; 57224189646; 57194415126; 57202442512; 57191857192";0,846153846
1742;Department of Information and Communication Technologies;11;12;"57201771882; 57208426975; 57191268970; 55225531900; 26028048100; 18042670600; 58309781700; 57211747520; 37121982400; 13104908300; 56925032900; 7102438809";0,916666667
17;Institute for Nuclear Research;10;28;"36776322200; 57184229600; 26654406600; 57212377045; 55424210300; 6603770719; 6701545407; 57184251800; 34168294300; 57202567457; 6504103697; 57213079364; 35290939700; 23466267100; 6507056198; 6701703012; 26654270100; 36094219000; 57892367700; 6602914349; 6603634096; 36619938700; 57190579076; 8407959700; 26667863300; 56541690000; 31567499900; 36638304000";0,357142857
76;Institute of Molecular Biology and Genetics;10;39;"7101636762; 15048021900; 57189096099; 55369202400; 6508384848; 23996042000; 6507004007; 56587751500; 32667955300; 35584616500; 6505841222; 15048900300; 35552634700; 36614298600; 55946389000; 26967561800; 36844439600; 16476946000; 42061837400; 6603852394; 55054779800; 24338748600; 34770221200; 6507133675; 24337805000; 24337840100; 7006669586; 6506630421; 24337976100; 23397717300; 56331860700; 57189093230; 24339391600; 57216511076; 6603240197; 24339187000; 7004077181; 6603955899; 56024692500";0,256410256
129;S. P. Timoshenko Institute of Mechanics;10;13;"6701372290; 6602889305; 57195441641; 57202798385; 35617175300; 7005240995; 57191950557; 56218793600; 7006220648; 7101874782; 9243894800; 35608606300; 35751499900";0,769230769
143;Department of Computer Systems and Networks;10;15;"57680586200; 57202199618; 57204879318; 6506732081; 58209236500; 55991072700; 57219123589; 57970635600; 35096647100; 24722874000; 57200609600; 57205633351; 57191868615; 22034015200; 22034616000";0,666666667
234;Ukrainian State University of Chemical Technology;10;12;"57203935776; 57257296400; 57214243715; 15020877800; 7004205323; 6603092887; 57201361365; 57200571876; 6602543276; 26021932700; 57195414738; 57210696203";0,833333333
389;State Higher Educational Institution National Mining University;10;23;"55991211800; 6508019486; 55437044400; 56447107800; 56446921900; 55891451700; 57212123959; 55602102100; 55217669900; 56993391400; 55603352300; 36186186400; 55217953100; 25636868900; 57194413457; 57204159539; 57194419359; 36184050600; 57194418920; 55991219200; 55217778700; 56447003300; 6603804708";0,434782609
588;Optics and Publishing Department;10;14;"54883888200; 14831780700; 55394720600; 57193799478; 7004368950; 54882613300; 6701840218; 14830555500; 56035704400; 35318204300; 14831433300; 36925155800; 55338178100; 9279702200";0,714285714
725;International Research and Training Center for Information Technologies and Systems;10;9;"16745159200; 57249460600; 56187840900; 7004024546; 25646567000; 14042402300; 57249878000; 58113601400; 6602751396";1,111111111
730;Research Institute for Intelligent Computer Systems;10;11;"57200168005; 56008186500; 35518445600; 35366491300; 6701835869; 35366175300; 57204562086; 57209805916; 6603541176; 16202975800; 7801584826";0,909090909
822;FALSE;10;12;"57217113552; 45861384900; 57204170607; 6506327117; 58313653700; 55635565800; 57220774508; 57204501156; 16407713700; 58314984400; 6601983603; 57191408081";0,833333333
961;Department of Biomedical Engineering;10;12;"57194145491; 57105743600; 35298713200; 55975449900; 56685704800; 57188710183; 57209023773; 57193325956; 57188709802; 57210558296; 57191737209; 57195682869";0,833333333
1169;Department of Information Security;10;12;"57196084435; 16444461000; 57222871394; 6507365226; 36545243000; 24479832900; 57201682654; 58098196100; 6603116016; 57196005917; 56990473600; 57478731300";0,833333333
1765;Department of Economics;10;16;"58474828100; 57219987030; 36176147700; 57226273865; 57216654009; 57476537900; 57015406500; 57194574570; 57433164100; 57094201600; 57202377827; 55537257700; 55855849100; 57208010149; 56328566400; 57205358894";0,625
1801;Doctor of Technical Sciences;10;12;"6602508280; 14043113100; 56962707500; 57217077944; 27867503300; 57057781300; 57190176454; 57216965688; 57216330951; 6507143680; 57190165613; 35300683100";0,833333333
47;Zaporizhzhya National University;9;16;"8918020500; 58554429300; 57210598874; 57221820805; 57210597445; 57197781586; 57210156584; 8398797400; 6506407054; 57074526200; 16407827200; 57208711476; 57214364504; 57191843503; 57210601921; 57224353221";0,5625
50;World Data Center for Geoinformatics and Sustainable Development;9;9;"57207258986; 57219458405; 35772319200; 6506327117; 58716805400; 35772765100; 57192074744; 57164002100; 56656533400";1
72;Karpenko Physico-Mechanical Institute;9;22;"7003965488; 14044776000; 36069376300; 7003910094; 6507074177; 57200140058; 6603321213; 6504762326; 57191865902; 9041607400; 6602731903; 56638520900; 51561792400; 26429019400; 6507619885; 24479946200; 6506561823; 24479899900; 6602991889; 27868102000; 26535016700; 6701701199";0,409090909
114;National University of Pharmacy;9;21;"56387645500; 36946443000; 57213591676; 57194130509; 57220208753; 15763528400; 9270293800; 57207306840; 57201431341; 57197796632; 55176710000; 57225107797; 16508815200; 57204440111; 6603217324; 57331378700; 57359594700; 57204394077; 24175685900; 55887309500; 6602554062";0,428571429
145;National University;9;18;"6602604353; 57211329145; 57191967462; 57202210835; 57457044200; 6505934301; 42962320400; 57457042700; 57130878700; 57223142032; 57226101995; 15768592400; 58077448100; 24484045400; 6602806176; 7005703838; 57211998738; 57456789600";0,5
236;Department of Transmitters;9;8;"6507438749; 24400152800; 18042670600; 55225531900; 7102438809; 58309781700; 7005979784; 7005723502";1,125
403;Bogomoletz Institute of Physiology;9;13;"57211629401; 57986457600; 6603584790; 35610436800; 8835977100; 57218262791; 7005425654; 57190124444; 24723280100; 56055827900; 6701329069; 55326842100; 6602523327";0,692307692
459;Department of Information Technologies;9;10;"36069321300; 36651002500; 13104107100; 57196297466; 58198351800; 35093308800; 57210884127; 55946650300; 57189363195; 55557807500";0,9
577;M. H. Kholodny Institute of Botany;9;1;7004260474;9
657;Correlation Optics Dept.;9;11;"7003787152; 7003463608; 6506973943; 57454698400; 24281429000; 35608777000; 57454626900; 57203380294; 36682316500; 57215545200; 57454651900";0,818181818
910;Institute for Information Recording;9;12;"8317325400; 57207258986; 19934022600; 57193842530; 54881853400; 35583691500; 57201383152; 7004327204; 57207244201; 23995340900; 57193842606; 57193852348";0,75
1162;Institute of Software Systems of National Academy of Sciences of Ukraine;9;6;"56183606500; 28667561500; 7004699980; 26662433900; 25823526300; 57202441117";1,5
1305;Computer Science Department;9;22;"57200141762; 54420952900; 57189328827; 55946650300; 54421163800; 57200141661; 57879548300; 24179093900; 24178188900; 57202234788; 55226024100; 56310222100; 6507296188; 58264626100; 57211215743; 6701840218; 57211213807; 57200316041; 55225606100; 57878917000; 57194764986; 9279702200";0,409090909
2086;Lviv National Agrarian University;9;11;"57218345641; 57220107682; 57196450338; 56001376900; 57558286600; 57205225539; 57214243336; 57210807861; 55923873700; 57211599964; 57205362182";0,818181818
2266;Ternopil Volodymyr Hnatiuk National Pedagogical University;9;19;"57190122282; 57257416100; 57221284248; 57952787200; 57214945949; 16745231400; 24331602700; 57214945738; 57204053779; 57103716600; 57216847034; 58436392100; 57383333800; 57239318900; 57204727013; 6507476864; 57952714500; 57221631068; 57951621200";0,473684211
2351;National Academy of Internal Affairs;9;4;"57216330951; 57210743622; 58628422200; 57797291200";2,25
2424;Glushkov Cybernetics Institute;9;8;"6506264506; 6602577533; 56496122100; 58735259600; 57223814692; 57816239300; 55926485700; 57200318123";1,125
2537;State University of Economics and Technology;9;7;"57210109157; 57218569792; 6701899850; 57204971507; 57205435051; 57220106666; 57211134620";1,285714286
2841;Department of Systems Engineering;9;4;"58758123400; 57207684678; 57189386760; 56486038400";2,25
68;Institute of Organic Chemistry;8;17;"6603429600; 26434497400; 6507341398; 15052112100; 36150993100; 58462602200; 7004205548; 36186003500; 6602722045; 35458161800; 7003871434; 8666617200; 8338223800; 57193129897; 58639182900; 55912569000; 14054884900";0,470588235
86;Schmalhausen Institute of Zoology;8;14;"58113355700; 38662667500; 7005115077; 57197789880; 56641744700; 36767529200; 58112420700; 35339201000; 56208953000; 23099889500; 6507773565; 56277608500; 57208395055; 56434328100";0,571428571
122;Applied Mathematics Department;8;9;"36634807500; 55414962100; 53980623200; 57206489823; 57203618952; 56425746800; 47861221700; 57211668139; 57202222454";0,888888889
233;Timoshenko Institute of Mechanics;8;14;"55644784000; 6603001715; 7005549978; 7006031220; 35617175300; 57505305900; 6602779228; 57191950557; 36957383700; 14068009900; 57195257601; 57201605698; 7006220648; 7102093164";0,571428571
282;Enamine Ltd.;8;10;"6603429600; 55918598100; 6701840847; 6505483164; 8939218400; 57198818365; 14819649600; 57488699600; 58520689100; 57196678453";0,8
311;National Taras Shevchenko University of false;8;14;"6602842336; 7004529396; 57219409264; 9939891100; 57194451647; 57203849687; 6507195497; 56358862200; 57209537460; 58061035100; 58360878800; 54891791500; 7801433517; 57191869956";0,571428571
369;Admiral Makarov National University of Shipbuilding;8;13;"7101860445; 58575122500; 58574948800; 25625792000; 57218515088; 43761604400; 55225519900; 57216739634; 58490483000; 55225622100; 58677657400; 58639991800; 57103166700";0,615384615
517;Kharkov National University of Radioelectronics;8;16;"14018777000; 13105377000; 55975679100; 55976739800; 56535298900; 25650378900; 8326375900; 55975415400; 55902510400; 57194480930; 57217113510; 55976187900; 6701878527; 7801667873; 54895641900; 57188710840";0,5
681;Bukovinian University;8;6;"56034955000; 6504272188; 57204777015; 57191574672; 57213288434; 57189383267";1,333333333
735;Donbass State Engineering Academy;8;13;"57170410800; 58527276700; 58602127200; 57220856570; 57223969316; 57194348450; 58635993100; 58690062300; 57192671669; 57207768511; 55649667900; 58635371100; 57193625791";0,615384615
753;Department of Space Information Technologies and Systems;8;7;"55795545300; 6507365226; 57202323039; 56667743100; 56335387700; 57208256914; 6602485938";1,142857143
806;Oles Honchar Dnipropetrovsk National University;8;11;"7003374097; 56437623300; 6508010169; 57191867000; 6603923500; 6505609275; 57216844289; 56444479400; 57190372318; 15122731600; 57214167505";0,727272727
892;Zhytomyr State Technological University;8;16;"57192675608; 57193450436; 57222623027; 57203860408; 56951192800; 56835570200; 16204199100; 57203866785; 7006786696; 57194694876; 57193926473; 57192955029; 57216270350; 57192961704; 57192686016; 57203935673";0,5
1066;Department of Information Systems and Networks;8;7;"57204559109; 57191404522; 56446930100; 57204943549; 24484045400; 57208666027; 57202442512";1,142857143
1172;Department of Mathematics;8;8;"57192678623; 56419822400; 24344600300; 25026503600; 57191851171; 57195741866; 57193993937; 8533029700";1
1232;European University;8;5;"57680586200; 57218104687; 57195443590; 57217114044; 57210806426";1,6
1476;National Aerospace University 'false Aviation Institute';8;17;"56072031500; 57218542303; 57220108735; 7003358846; 57189332649; 7006718461; 36765665700; 57444759400; 58194260300; 57202229519; 57208904908; 57211747520; 23397933100; 57211621104; 56925032900; 57202239038; 7102438809";0,470588235
1706;Enamine Ltd;8;27;"57879838900; 8939218400; 14819649600; 57488699600; 58691911400; 12800993600; 6508265844; 58568107600; 55499139600; 56981727300; 57194146773; 57310304500; 14122841500; 57311387800; 58690244500; 57221318297; 57194721344; 58690244100; 57348193400; 57310653900; 24344218400; 57192995717; 57310481000; 57203849687; 58690244200; 57203065589; 57204603317";0,296296296
1959;Department of Media Systems and Technologies;8;7;"57199330199; 57203150183; 56486038400; 57961924300; 57194480930; 57775882100; 56866386100";1,142857143
1992;false National Economic University Named after Vadym Hetman;8;11;"57210109181; 56505513000; 56658774100; 56011088600; 57210603784; 57210340695; 57210596966; 57219924019; 55337787400; 57214471847; 57210346169";0,727272727
2238;National Technical University of Ukraine Igor Sikorsky false Polytechnic Institute;8;12;"57238255300; 57215927206; 55327873500; 6507365226; 57151441400; 57202424721; 54421204800; 7201827051; 57215138265; 57370515400; 58681157300; 24479839700";0,666666667
166;Institute of Bioorganic Chemistry and Petrochemistry;7;19;"6603676477; 7003418309; 56166214600; 6603929049; 6701780283; 7004553781; 56962727700; 56160092400; 36772405000; 7102244594; 56878916900; 6602509268; 56897133500; 25632985300; 56166447000; 57211633144; 6505779360; 55220935000; 57193418154";0,368421053
212;Institute of Hydromechanics;7;15;"57195730555; 36646936000; 6603370817; 7201906546; 7003877423; 57202219671; 57202223120; 8837399700; 6601965672; 7004672283; 7006758844; 57202217747; 57194622011; 57202218599; 57021369900";0,466666667
256;Institute of Applied Mathematics and Mechanics;7;5;"55053361500; 55893304400; 55389484600; 16040765700; 55317060100";1,4
285;Institute for Condensed Matter Physics;7;8;"35563128900; 56250813300; 13405696200; 17135506300; 12793134300; 35614941000; 55795624000; 57189512157";0,875
296;Department of Biology;7;6;"54584230600; 27868173600; 55873000300; 6507221652; 7101780582; 57728597500";1,166666667
343;Uzhgorod National University;7;10;"57845370300; 57219537395; 57192545268; 7003673303; 55208340300; 57892320400; 57204564304; 10244052100; 58737608400; 36450362900";0,7
360;Ternopil Ivan Pul'uj National Technical University;7;6;"6603302497; 25638742300; 55520720900; 54911988600; 55225555200; 26537632000";1,166666667
377;Zaporizhzhya National Technical University;7;10;"55120940800; 57202151469; 24479394900; 57208908897; 7006531104; 57208904976; 57208908346; 56466008400; 8383605600; 57193953203";0,7
696;Laboratory for Molecular Modeling;7;1;57000654800;7
749;Department of Industrial Automation;7;3;"26537632000; 25638742300; 35772967800";2,333333333
989;Odessa Polytechnic National University;7;18;"57191406873; 36104775700; 8393582500; 57222321410; 57191407655; 57193025809; 57741120700; 57103429400; 54401442600; 57191479168; 57190441004; 57226406701; 57216148600; 57188700773; 57189333248; 36845971100; 57711072100; 7801669969";0,388888889
1073;Samsung R&D Institute Ukraine (SRK);7;19;"57209367343; 57218310727; 57218311074; 57218310377; 57218311523; 57209362862; 57218311636; 57205439768; 57218310394; 12768210800; 57191592131; 57191592568; 57191592940; 54995209800; 57222568573; 57190490764; 57214591500; 6602584042; 57193518359";0,368421053
1097;Uman National University of Horticulture;7;23;"57192077873; 57204501698; 57204458239; 57204463776; 57191198314; 57192088298; 57196317763; 57202964971; 57197075933; 57226181678; 57216509715; 57160064700; 57199326114; 57903291900; 57216501882; 57204318362; 57204460700; 58570228600; 57223364826; 56572935500; 57204315174; 57226177032; 36176094400";0,304347826
1185;Western Radio Technical Surveillance Center;7;5;"57212536928; 56486038400; 56866310000; 57021260000; 57200220135";1,4
1327;Department of Automation and Control in Technical Systems;7;13;"57204940489; 57192681314; 57202189088; 57220194434; 57200181015; 57191415579; 57220201505; 57654372300; 57193493044; 57188767957; 57207707035; 57204829438; 57191405413";0,538461538
1381;Taras Shevchenko National;7;14;"57189216930; 57188763373; 7005440517; 57202211119; 57202223181; 57211747565; 57456882200; 57194528334; 57194039632; 57201779357; 57953407000; 57193231739; 57194525618; 57277468800";0,5
1530;Khmelnitsky National University;7;17;"54420643500; 57218242499; 57194494846; 57195258206; 54421023400; 6504043018; 57203866506; 57218181382; 57786263500; 56008190300; 57195265085; 57192819394; 54420153900; 57218378684; 56946906000; 57786856200; 57195260301";0,411764706
1576;Department of Computer Science and Information Technologies;7;10;"57204558726; 57191853306; 6505609275; 57213830191; 57201780674; 57217176350; 57216894492; 57204559030; 57210288677; 57203157573";0,7
1612;Faculty of Information Technologies;7;11;"56529657700; 57223193357; 57263347700; 57223197070; 57216147033; 57194557735; 57204564304; 54387479600; 57204564710; 57263531900; 57205633452";0,636363636
1843;Department of Information Technology Security;7;3;"57189319470; 57196077962; 57218899079";2,333333333
1847;"National Aerospace University ""false Aviation Institute""";7;16;"57209533869; 57163964800; 56784405500; 57209529235; 57218347380; 57369609300; 57194525720; 57208906381; 57202229519; 58194260300; 57208341801; 23397933100; 57208901528; 57572740100; 57202239038; 22034616000";0,4375
2182;Department of Information Systems and Technologies;7;7;"57220764300; 56677851600; 6505609275; 57194600433; 57205720247; 56560220900; 57200820629";1
2214;Faculty of Computer Science and Cybernetics;7;7;"57209367343; 56497047400; 6602307977; 57216857814; 57214117257; 57219207048; 57943871900";1
2239;V.P. Kukhar Institute of Bioorganic Chemistry and Petrochemistry;7;15;"56160092400; 57894393500; 6603929049; 36674573300; 56878916900; 57580706500; 58080925800; 56166214600; 56962727700; 6701325265; 57194614164; 6505779360; 55220935000; 56897133500; 57191281086";0,466666667
2268;Vinnytsia Mykhailo Kotsiubynskyi State Pedagogical University;7;10;"57808543400; 58147109600; 57781539200; 57781804900; 57219923467; 57904571600; 57214946989; 57808410600; 57219317069; 58147501800";0,7
2276;Department of Information-Communication Technologies;7;5;"18042670600; 55225531900; 58523034900; 7005979784; 7102438809";1,4
2625;"National Technical University of Ukraine ""Igor Sikorsky false Polytechnic Institute""";7;26;"57208423273; 57208343213; 57216153388; 58188356300; 54421204800; 58182128400; 57374375500; 57202218042; 57215929485; 57192921573; 6506155716; 6602445011; 58192072800; 57195395231; 56941660900; 56412465200; 36069902600; 57215929091; 57226552476; 6701855242; 57189332323; 57204582746; 55389891200; 57195940293; 57373301800; 57223795796";0,269230769
2703;Pavlo Tychyna Uman State Pedagogical University;7;17;"57219986242; 58100808800; 57786225400; 26665713100; 57410200200; 57902656400; 57787424400; 57219926403; 57219927935; 57375044900; 57210745590; 57219987216; 57285789900; 58529146600; 57219987640; 57219988925; 57786525200";0,411764706
3304;Department of Mathematical Modelling and Artificial Intelligence;7;8;"57214231847; 57207882161; 7006718461; 57222493079; 57202229519; 58194260300; 57202239038; 57222496095";0,875
3790;Ukrainian State University of Science and Technologies;7;13;"57212527867; 35175708700; 55879822700; 58687903100; 57937623500; 26635896100; 28167901000; 57218682553; 57224202699; 57383979100; 57224201949; 57204433279; 57904574600";0,538461538
38;Software Department;6;9;"6602569305; 35773337400; 56617166300; 36349242400; 36069907000; 55816818300; 57188568372; 24831290800; 55225672300";0,666666667
91;Computer Engineering Faculty;6;7;"38761937400; 25650378900; 27868133900; 37122608000; 57372601800; 7801667873; 57188710840";0,857142857
94;false Aviation Institute;6;7;"57220108735; 7003358846; 57204939770; 57369609300; 57218347380; 23397933100; 57202239038";0,857142857
137;Bogolyubov Institute for Theoretical Physics;6;7;"12763261300; 7103059304; 6603699621; 57191296120; 35622910600; 6701476897; 6603558350";0,857142857
149;Dept. of Transmitters;6;9;"14522143700; 55652835300; 7102438809; 58309781700; 13104908300; 56925032900; 7005979784; 7005723502; 56363478400";0,666666667
211;false National Polytechnic University;6;12;"56983080500; 57204560043; 56001376900; 57844174500; 57200316807; 57210121868; 56446930100; 26032640400; 57156647600; 24315132000; 58579911400; 57170891900";0,5
214;V. Lashkaryov Institute of Semiconductor Physics;6;9;"6602228426; 8410640500; 35493343400; 58189810800; 6603542496; 57201857688; 16234825700; 6507163127; 58628925600";0,666666667
263;National Transport University;6;6;"57194636055; 57205505801; 57190407286; 58020561600; 55822373600; 57190296913";1
